"Address format","Adres biçimi"
"PayPal Website Payments Standard","PayPal Web Sitesi Ödemeleri Standart"
"No Payment Information Required","Yok Ödeme Bilgileri Gerekli"
"Purchase Order","Satın alma emri"
"PayPal Express Checkout","PayPal Ekspres Ödeme"
"Cash On Delivery","Kapıda ödeme"
"Check / Money order > Check/MO","Giriş> / Para siparişi kontrol / MO"
"Credit Card","Kredi kartı"
"Credit Card (saved)","Kredi Kartı (kayıtlı)"
"United Parcel Service - 2nd Day Air","United Parcel Service - 2. Gün Hava"
"United Parcel Service - 3 Day Select","United Parcel Service - 3 Gün Seç"
"United Parcel Service - Ground","United Parcel Service - Zemin"
"United Parcel Service - Next Day Air","United Parcel Service - Ertesi Gün Hava"
"United Parcel Service - Next Day Air Early AM","United Parcel Service - Sonraki Gün Hava Erken AM"
"United Parcel Service - Worldwide Expedited","United Parcel Service - Dünya Hızlandırılmış"
"United Parcel Service - Worldwide Express","United Parcel Service - Worldwide Express"
"United Parcel Service - Worldwide Express Saver","United Parcel Service - Worldwide Express Saver"
"United Parcel Service","Birleşik Parsel Servisi"
"from outside US","ABD dışından"
"eBay Shipping","eBay Kargo"
"Standard Shipping","Standart Nakliye"
"Standard delivery","standart teslimat"
"Federal Express","Federal Express"
"Royal Mail","Kraliyet Postası"
"M2E Pro Payment","M2E Pro Ödeme"
"Flat Rate - Fixed","Sabit Ücret - Sabit"
"Free Shipping - Free","Ücretsiz Kargo - Ücretsiz"
"Free Shipping","Ücretsiz kargo"
"Free Worldwide Delivery","Ücretsiz Dünya çapında Teslimat"
"Royal Mail","Kraliyet Postası"
"Next-Day Delivery","Sonraki Gün Teslimat"
"International","Uluslararası"
"Standard","Standart"
"Small","Küçük"
"Packets","paketler"
"from outside","dışarıdan"
"Bank Transfer Payment","Banka Havalesi Ödeme"
"Credit Card (Authorize.net)","Kredi Kartı (Authorize.net)"
"Bill Me Later","Faturayı daha sonra kes"
"PayPal Payments Pro","PayPal Ödemeleri Pro"
"PayPal Express Checkout Payflow Edition","PayPal Ekspres Ödeme Payflow Sürümü"
"PayPal Payments Pro Payflow Edition","PayPal Ödemeleri Pro Payflow Sürümü"
"Payflow Pro","Payflow Pro"
"PayPal Billing Agreement","PayPal Fatura Sözleşmesi"
"Payment by cards or by PayPal account","kartları veya PayPal hesabı ile ödeme"
"Credit Card Direct Post (Authorize.net)","Kredi Kartı Doğrudan Mesaj (Authorize.net)"
"PayPal Mobile Payments Library","PayPal Mobil Ödemeler Kütüphane"
"PayPal Mobile Express Checkout Library","PayPal Mobil Ekspres Ödeme Kütüphanesi"
"Credit Card / Visa, Mastercard, AMEX, JCB, Diners","Kredi Kartı / Visa, Mastercard, AMEX, JCB, Diners"
"CartaSi","CartaSi"
"Lastschrift (ELV)","Lastschrift (ÖTA)"
"Dankort","Dankort"
"Nordea Solo","Nordea Solo"
"eNETS","ENETS"
"Carte Bleue","carte Bleue"
"Giropay","Giropay"
"iDeal","ideal"
"Laser","Lazer"
"Maestro","orkestra şefi"
"EPS Online-Überweisung","EPS Online Überweisung"
"POLi","POLi"
"Postepay","Postepay"
"All Polish Banks","Tüm Polonyalı Bankalar"
"Sofortüberweisung","Sofortüberweisung"
"Moneybookers eWallet","Moneybookers eWallet"
"Onlineüberweisung (empfohlen)","Onlineüberweisung (empfohlen)"
"Ogone Direct Link","Ogone Direct Link"
"Psigate","Psigate"
"Credit Card (Sage Pay Direct)","Kredi Kartı (Sage Öde Doğrudan)"
"Worldpay","Worldpay"
"Braintree","braintree"
"First Data Global Gateway","First Data Global Gateway"
"Paybox Direct","Paybox Doğrudan"
"eWAY Direct","Eway Doğrudan"
"Credit Card (Cybersource)","Kredi Kartı (CyberSource)"
"Ogone","Ogone"
"Credit Card (Payone.de)","Kredi Kartı (Payone.de)"
"Credit Card (DIBS)","Kredi Kartı (DİBS)"
"Protx Standard","Protx Standart"
"Paybox System","Paybox Sistemi"
"eWAY Shared","Eway Paylaşılan"
"eWAY 3D-Secure","Eway 3D-Secure"
"ChronoPay Standard","Chronopay Standart"
"ChronoPay Gateway","Chronopay Ağ Geçidi"
"CyberMUT-P@iement","CyberMUT-P @ iement"
"iDEAL Basic","iDEAL Temel"
"iDEAL Advanced","iDEAL Gelişmiş"
"Flo2Cash Web Service","Flo2Cash Web hizmeti"
"Amazon Simple Pay","Amazon Basit Öde"
"Checkout by Amazon","Amazon tarafından Ödeme"
"United States Postal Service - First-Class Mail Large Envelope","Amerika Birleşik Devletleri Posta Servisi - Birinci Sınıf Posta Büyük Zarf"
"United States Postal Service - First-Class Mail Letter","Amerika Birleşik Devletleri Posta Servisi - Birinci Sınıf Posta Mektubu"
"United States Postal Service - First-Class Mail Parcel","Amerika Birleşik Devletleri Posta Servisi - Birinci Sınıf Posta Parsel"
"United States Postal Service - First-Class Mail Postcards","Amerika Birleşik Devletleri Posta Servisi - Birinci Sınıf Posta Kartpostallar"
"United States Postal Service - Priority Mail","Amerika Birleşik Devletleri Posta Servisi - Öncelik Posta"
"United States Postal Service - Priority Mail Express Hold For Pickup","Amerika Birleşik Devletleri Posta Servisi - Pickup için Öncelik Mail Express tut"
"United States Postal Service - Priority Mail Express","Amerika Birleşik Devletleri Posta Servisi - Öncelik Mail Express"
"United States Postal Service - Standard Post","Amerika Birleşik Devletleri Posta Servisi - Standart Mesaj"
"United States Postal Service - Media Mail","Amerika Birleşik Devletleri Posta Servisi - Medya Posta"
"United States Postal Service - Library Mail","Amerika Birleşik Devletleri Posta Servisi - Kütüphane Posta"
