"Address format","Định dạng địa chỉ"
"PayPal Website Payments Standard","PayPal website chuẩn thanh toán"
"No Payment Information Required","Yêu cầu Không có thông tin thanh toán"
"Purchase Order","mua hàng"
"PayPal Express Checkout","PayPal Express Checkout"
"Cash On Delivery","Thanh toán khi giao hàng"
"Check / Money order > Check/MO","Kiểm tra đơn hàng / tiền> Kiểm tra / MO"
"Credit Card","Thẻ tín dụng"
"Credit Card (saved)","Thẻ tín dụng (lưu)"
"United Parcel Service - 2nd Day Air","United Parcel Service - 2 Day Air"
"United Parcel Service - 3 Day Select","Parcel Service United - 3 ngày Chọn"
"United Parcel Service - Ground","United Parcel Service - Ground"
"United Parcel Service - Next Day Air","United Parcel Service - Next Day Air"
"United Parcel Service - Next Day Air Early AM","United Parcel Service - Next Day Air sớm AM"
"United Parcel Service - Worldwide Expedited","Parcel Service Kỳ - Worldwide Expedited"
"United Parcel Service - Worldwide Express","Parcel Service Kỳ - Worldwide Express"
"United Parcel Service - Worldwide Express Saver","Parcel Service Kỳ - Worldwide Express Saver"
"United Parcel Service","Parcel Service Kỳ"
"from outside US","từ bên ngoài nước Mỹ"
"eBay Shipping","eBay Vận Chuyển"
"Standard Shipping","Vận chuyển Tiêu chuẩn"
"Standard delivery","phân phối tiêu chuẩn"
"Federal Express","Federal Express"
"Royal Mail","Thư hoàng gia"
"M2E Pro Payment","M2E Pro Thanh toán"
"Flat Rate - Fixed","Flat Rate - Cố định"
"Free Shipping - Free","Vận chuyển miễn phí - miễn phí"
"Free Shipping","Miễn phí vận chuyển"
"Free Worldwide Delivery","Giao hàng miễn phí trên toàn thế giới"
"Royal Mail","Thư hoàng gia"
"Next-Day Delivery","Giao hàng tiếp theo ngày"
"International","quốc tế"
"Standard","Tiêu chuẩn"
"Small","Nhỏ"
"Packets","Các gói"
"from outside","từ bên ngoài"
"Bank Transfer Payment","Thanh toán Bank Transfer"
"Credit Card (Authorize.net)","Thẻ tín dụng (Authorize.net)"
"Bill Me Later","Tính hóa đơn cho tôi sau"
"PayPal Payments Pro","Thanh toán PayPal Pro"
"PayPal Express Checkout Payflow Edition","PayPal Express Checkout Payflow bản"
"PayPal Payments Pro Payflow Edition","Thanh toán PayPal Pro Payflow bản"
"Payflow Pro","Payflow Pro"
"PayPal Billing Agreement","Hiệp định thanh toán của PayPal"
"Payment by cards or by PayPal account","Thanh toán bằng thẻ hoặc tài khoản PayPal"
"Credit Card Direct Post (Authorize.net)","Thẻ tín dụng trực tiếp Post (Authorize.net)"
"PayPal Mobile Payments Library","PayPal Thanh toán Thư viện di động"
"PayPal Mobile Express Checkout Library","Thư viện toán nhanh PayPal Mobile"
"Credit Card / Visa, Mastercard, AMEX, JCB, Diners","Thẻ tín dụng / thẻ Visa, Mastercard, AMEX, JCB, Diners"
"CartaSi","CartaSi"
